source_file,source_id,title,axiom,definitions,action,boundary,test,dg1_dependencies,dg2_new_capability,dg3_preserved_floor,dg4_collapse_if_removed,dg5_translation_registers,dg6_state,dg7_admissible,dg8_closure_pass,claim_class,proof_label,grade,recommended_atom_action,overstatement_risks,kill_conditions,lean_target,plain_summary
AX-115_Material_Axiom_115.md,AX-115_Material_Axiom_115,AX-115_Material_Axiom_115,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-116_Material_Axiom_116.md,AX-116_Material_Axiom_116,AX-116_Material_Axiom_116,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-117_Material_Axiom_117.md,AX-117_Material_Axiom_117,AX-117_Material_Axiom_117,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-118_Material_Axiom_118.md,AX-118_Material_Axiom_118,AX-118_Material_Axiom_118,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-119_Material_Axiom_119.md,AX-119_Material_Axiom_119,AX-119_Material_Axiom_119,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-120_Material_Axiom_120.md,AX-120_Material_Axiom_120,AX-120_Material_Axiom_120,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-121_Material_Axiom_121.md,AX-121_Material_Axiom_121,AX-121_Material_Axiom_121,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-122_Material_Axiom_122.md,AX-122_Material_Axiom_122,AX-122_Material_Axiom_122,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-123_Sin_as_Decoherence.md,AX-123_Sin_as_Decoherence,AX-123_Sin_as_Decoherence,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-124_Entropy_Opposition.md,AX-124_Entropy_Opposition,AX-124_Entropy_Opposition,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-125_Relational_Axiom_125.md,AX-125_Relational_Axiom_125,AX-125_Relational_Axiom_125,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-126_Relational_Axiom_126.md,AX-126_Relational_Axiom_126,AX-126_Relational_Axiom_126,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-127_Relational_Axiom_127.md,AX-127_Relational_Axiom_127,AX-127_Relational_Axiom_127,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-128_Grace_Priority.md,AX-128_Grace_Priority,AX-128_Grace_Priority,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-129_Relational_Axiom_129.md,AX-129_Relational_Axiom_129,AX-129_Relational_Axiom_129,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-130_Relational_Axiom_130.md,AX-130_Relational_Axiom_130,AX-130_Relational_Axiom_130,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
AX-131_Relational_Axiom_131.md,AX-131_Relational_Axiom_131,AX-131_Relational_Axiom_131,,,,dry run only,,,,,,,unknown,needs_review,unclear,dry_run,NOT_ESTABLISHED,E,keep_in_inbox,,,,Dry run only.
